Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
1085,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1086,False,0.21276595,Coh2,0.025,0.0,0.05,0.12,0.0,0.207569,0.015213684,0.0,0.0,6.0
1087,False,0.032446475,Coh2,0.15,0.1059322,0.05,0.08,0.166666667,0.701262,0.003002105,0.0,1.0,1.0
1088,False,0.056497175,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
1089,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1090,False,0.146771025,Coh2,0.175,0.273722625,0.1,0.16,0.166666667,0.00490755,0.857968421,0.0,1.0,4.0
1091,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1092,False,0.0,Coh2,0.025,0.2232143,0.0,0.04,0.033333333,0.001,0.0,0.0,0.0,6.0
1093,True,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,0.896459,0.002348421,0.0,0.0,1.0
1094,True,0.056497175,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1095,True,0.0,Coh2,0.05,0.0529661,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,1.0
1096,False,0.032446475,Coh2,0.075,0.1059322,0.05,0.08,0.066666667,0.547945,0.003842105,0.0,1.0,1.0
1097,True,0.0,Coh2,0.05,0.05800465,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,2.0
1098,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1099,False,0.1977401,Coh3,0.15,0.0,0.3,0.28,0.0,0.00971584,0.758392632,0.0,0.0,1.0
1100,False,0.2332815,Coh3,0.125,0.0,0.25,0.48,0.0,0.0167812,0.752724211,1.0,0.0,2.0
1101,True,0.09784735,Coh3,0.425,0.18248175,0.05,0.2,0.533333333,0.0133666,0.393754737,0.0,0.0,3.0
1102,True,0.056497175,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1103,False,0.056497175,Coh3,0.025,0.0,0.05,0.08,0.0,0.0459242,0.045842105,0.0,0.0,1.0
1104,False,0.0777605,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
1105,True,0.09784735,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
1106,True,0.0,Coh3,0.025,0.05800465,0.0,0.04,0.033333333,0.001,0.0,0.0,1.0,1.0
1107,False,0.0,Coh3,0.025,0.05800465,0.0,0.04,0.033333333,0.001,0.0,0.0,1.0,1.0
1108,True,0.0777605,Coh3,0.05,0.1718213,0.05,0.08,0.033333333,0.0035238,0.597441053,0.0,1.0,2.0
1109,True,0.0,Coh3,0.0,0.0,0.0,0.04,0.0,0.001,0.0,0.0,1.0,1.0
1110,True,0.11664075,Coh4,0.05,0.0,0.1,0.08,0.0,0.467617,0.004502105,0.0,0.0,1.0
1111,True,0.056497175,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1112,True,0.056497175,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
